name,url,category,description
Foot fetishism,https://en.wikipedia.org/wiki/Foot_fetishism,List of vulvovaginal disorders,"
"
Footjob,https://en.wikipedia.org/wiki/Footjob,List of vulvovaginal disorders,"
"
Erotic sexual denial,https://en.wikipedia.org/wiki/Erotic_sexual_denial,List of vulvovaginal disorders,"
Erotic sexual denial is a popular form of sexual activity whereby sexual gratification for one or both partners is delayed or ""denied"" sexual experiences in order to increase erotic arousal and/or tension.[1] It is commonly used as sex play within the context of a mild dominance and submission relationship, though it can also be a solo practice. When used in the context of dominance and submission, the dominant partner is often encouraged to prioritize their own sexual pleasure over that of their submissive partner. The submissive partner receives gratification from providing sexual pleasure to their partner and from the feelings of vulnerability and tension that come from having their own sexual pleasure controlled by another.[2] The prohibited sexual experience can be narrowly or broadly defined for a specific or indeterminate length of time, depending on the practitioner. The experience withheld can be any favored or desired sexual activities, such as specific acts or positions, provided it is something the practitioner wants.
"
Facial,https://en.wikipedia.org/wiki/Facial_(sexual_act),List of vulvovaginal disorders,"

"
Edging,https://en.wikipedia.org/wiki/Edging_(sexual_practice),List of vulvovaginal disorders,"
Edging, sometimes also referred to as gooning[1][2][Note 1] or surfing,[3] is a sexual technique whereby an orgasm is controlled (that is, delayed or prevented). It is practiced alone or with a partner and involves the maintenance of a high level of sexual arousal for an extended period without reaching climax.[4] Orgasm control involves either sex partner being in control of the other partner's orgasm, or a person delaying their own orgasm during sexual activity with a partner or through masturbation. Any method of sexual stimulation can be used to experience controlled orgasm.[5] 
"
Creampie,https://en.wikipedia.org/wiki/Creampie_(sexual_act),List of vulvovaginal disorders,"
"
Fisting,https://en.wikipedia.org/wiki/Fisting,List of vulvovaginal disorders,"

"
Child sex,https://en.wikipedia.org/wiki/Child_sexuality,List of vulvovaginal disorders,"Sexual behaviors in children are common, and may range from normal and developmentally appropriate to abusive.[1] These behaviors may include self-stimulation, interest in sex, curiosity about their own or other genders, exhibitionism (the display of one's body to another child or an adult), voyeurism (attempts at seeing the body of another child or an adult), gender role behaviors,[2] and engagement in interpersonal sexual acts.
"
BDSM,https://en.wikipedia.org/wiki/BDSM,List of vulvovaginal disorders,"


"
Conventional sex,https://en.wikipedia.org/wiki/Conventional_sex,List of vulvovaginal disorders,"Conventional sex, colloquially known as vanilla sex, is sexual behavior that is within the range of normality for a culture or subculture, and typically involves sex which does not include elements of BDSM, kink, fetishism, and/or happens within a marriage or relationship.
"
Bareback,https://en.wikipedia.org/wiki/Bareback_(sexual_act),List of vulvovaginal disorders,"Bareback sex is physical sexual activity, especially sexual penetration, without the use of a condom.[1] The topic primarily concerns anal sex between men without the use of a condom, and may be distinguished from unprotected sex because bareback sex denotes the deliberate act of forgoing condom use.[2][3]
"
Dracunculiasis,https://en.wikipedia.org/wiki/Dracunculiasis,List of pollution-related diseases,"


"
Cryptosporidiosis,https://en.wikipedia.org/wiki/Cryptosporidiosis,List of pollution-related diseases,"
"
United States,https://en.wikipedia.org/wiki/Sexuality_in_the_United_States,List of vulvovaginal disorders," 
"
Anal sex,https://en.wikipedia.org/wiki/Anal_sex,List of vulvovaginal disorders,"

"
South Korea,https://en.wikipedia.org/wiki/Sexuality_in_South_Korea,List of vulvovaginal disorders,"
Sexuality in South Korea has been influenced by culture, religion, and westernization. Viewpoints in contemporary society can be viewed as a conflict between the traditional, conservative older generation and the more liberal and 'modern' generation. Due to this conflict, several issues in Korea, including sexual education, homosexuality, and sexual behavior are highly contested.
"
Philippines,https://en.wikipedia.org/wiki/Sexuality_in_the_Philippines,List of vulvovaginal disorders,"
Although Westernization and globalization have influenced Filipinos who live in the metropolitan areas, the overall culture remains quite conservative in its sexual values.[1] Filipino sexuality is affected by education received by Filipinos from schools, the media, the rise of the internet, religious teachings from their churches or other similar spiritual institutions, legal policies and laws, and the influence of urbanization or urbanized regions in the Philippines. There are provisions and policies in the constitution of the Philippines which promulgates that the sexual act should happen only within the framework of married life between a man and woman, because this personal human expression is solidly connected to the family unit and to society as a whole.[2]
"
Japan,https://en.wikipedia.org/wiki/Sexuality_in_Japan,List of vulvovaginal disorders,"Sexuality in Japan developed separately from that of mainland Asia,[clarification needed] as Japan did not adopt the Confucian view of marriage, in which chastity is highly valued. Monogamy in marriage is often thought to be less important in Japan, and sometimes married men may seek pleasure from courtesans. Prostitution in Japan has a long history, and became especially popular during the Japanese economic miracle, as evening entertainments were tax-deductible. Decreased sex drive in the 21st century has been blamed for the low Japanese birth rate and declining growth of the Japanese population.[1]
"
India,https://en.wikipedia.org/wiki/Sexuality_in_India,List of vulvovaginal disorders,"

"
Split attraction model,https://en.wikipedia.org/wiki/Split_attraction_model,List of vulvovaginal disorders,"The split attraction model (SAM) is a model in psychology that distinguishes between a person's romantic and sexual attraction, allowing the two to be different from each other.[1][2][3]
"
Sexual objectification,https://en.wikipedia.org/wiki/Sexual_objectification,List of vulvovaginal disorders,"Sexual objectification is the act of treating a person solely as an object of sexual desire (a sex object). Objectification more broadly means treating a person as a commodity or an object without regard to their personality or dignity. Objectification is most commonly examined at the level of a society (sociology), but can also refer to the behavior of individuals (psychology), and is a type of dehumanization.
"
Sexual ethics,https://en.wikipedia.org/wiki/Sexual_ethics,List of vulvovaginal disorders,"Sexual ethics (also known as sex ethics or sexual morality) is a branch of philosophy that considers the ethics or morality of sexual behavior.[1] Sexual ethics seeks to understand, evaluate and critique interpersonal relationships and sexual activities from social, cultural, and philosophical perspectives. Some people consider aspects of human sexuality, such as gender identification and sexual orientation, as well as consent, sexual relations and procreation, as giving rise to issues of sexual ethics.
"
Sexual repression,https://en.wikipedia.org/wiki/Sexual_repression,List of vulvovaginal disorders,"
"
Sexual capital,https://en.wikipedia.org/wiki/Sexual_capital,List of vulvovaginal disorders,"
Sexual capital or erotic capital or sexual market value is the social power an individual or group accrues as a result of their sexual attractiveness and social charm. It enables social mobility independent of class origin because sexual capital is convertible,[1][2] and may be useful in acquiring other forms of capital, including social capital and economic capital.[2]
"
China,https://en.wikipedia.org/wiki/Sexuality_in_China,List of vulvovaginal disorders,"Sexuality in China has undergone dramatic changes throughout time. These changes can be categorized as ""sexual revolution"".[1] Chinese sexual attitudes, behaviors, ideology, and relations have especially gone through dramatic shifts in the past four decades due to reform and opening up of the country.[1] Many of these changes have found expression in the public forum through a variety of behaviors and ideas.[1] These include, but are not limited to the following cultural shifts: a separation of sex and marriage, such as pre- and extramarital sex; a separation of sex from love and child-bearing such as internet sex and one-night stands; an increase in observable sexual diversity such as homo- and bisexual behavior and fetishism; an increase in socially acceptable displays and behaviors of female sexual desire; a boom in the sex industry; and a more open discussion of sex topics, including sex studies at colleges, media reports, formal publications, online information, extensive public health education, and public displays of affection.[1]
"
American Journal of Cardiology,https://en.wikipedia.org/wiki/American_Journal_of_Cardiology,List of heart disorders,"The American Journal of Cardiology is a biweekly peer-reviewed scientific journal in the field of cardiology and general cardiovascular disease. The editor-in-chief was William C. Roberts from 1982 to 2022; then he resigned and was replaced by Subhash Banerjee. It supersedes the Transactions of the American College of Cardiology which was published from 1951 to 1957 and the Bulletin of the American College of Cardiology, but it should not be confused with the Journal of the American College of Cardiology.
"
Sexual attraction,https://en.wikipedia.org/wiki/Sexual_attraction,List of vulvovaginal disorders,"

"
Sexual abstinence,https://en.wikipedia.org/wiki/Sexual_abstinence,List of vulvovaginal disorders,"
"
Ancient Rome,https://en.wikipedia.org/wiki/Sexuality_in_ancient_Rome,List of vulvovaginal disorders,"Sexual attitudes and behaviors in ancient Rome are indicated by art, literature, and inscriptions, and to a lesser extent by archaeological remains such as erotic artifacts and architecture. It has sometimes been assumed that ""unlimited sexual license"" was characteristic of ancient Rome,[1][2] but sexuality was not excluded as a concern of the mos maiorum, the traditional social norms that affected public, private, and military life.[3] Pudor, ""shame, modesty"", was a regulating factor in behavior,[4] as were legal strictures on certain sexual transgressions in both the Republican and Imperial periods.[5] The censors—public officials who determined the social rank of individuals—had the power to remove citizens from the senatorial or equestrian order for sexual misconduct, and on occasion did so.[6][7] The mid-20th-century sexuality theorist Michel Foucault regarded sex throughout the Greco-Roman world as governed by restraint and the art of managing sexual pleasure.[8]
"
Sexual slang,https://en.wikipedia.org/wiki/Sexual_slang,List of vulvovaginal disorders,"Sexual slang is a set of linguistic terms and phrases used to refer to sexual organs, processes, and activities;[1] they are generally considered colloquial rather than formal or medical, and some may be seen as impolite or improper.[2]
"
Romance,https://en.wikipedia.org/wiki/Romance_(love),List of vulvovaginal disorders,"Romance or romantic love is a feeling of love for, or a strong attraction towards another person,[1] and the courtship behaviors undertaken by an individual to express those overall feelings and resultant emotions.[2][3]
"
Acta Cardiologica,https://en.wikipedia.org/wiki/Acta_Cardiologica,List of heart disorders,"Acta Cardiologica is a bimonthly peer-reviewed medical journal covering research on all aspects of cardiovascular disease including observational studies, clinical trials, experimental investigations with clear clinical relevance, and tutorials.
"
Heart Rhythm Society,https://en.wikipedia.org/wiki/Heart_Rhythm_Society,List of heart disorders,"The Heart Rhythm Society is an international non-profit organization that promotes education and advocacy for cardiac arrhythmia professionals and patients. The society was founded in 1979 and counted over 7,500 members from over 90 countries as of January 2023.[1][independent source needed] The official journal of the Heart Rhythm Society is Heart Rhythm, which provides readers scientific developments devoted to arrhythmias, devices, and cardiovascular electrophysiology. The Heart Rhythm Society is headquartered in Washington, DC, US.[2]
"
National Heart Foundation of Australia,https://en.wikipedia.org/wiki/National_Heart_Foundation_of_Australia,List of heart disorders,"

"
Indian Heart Association,https://en.wikipedia.org/wiki/Indian_Heart_Association,List of heart disorders,"

"
American College of Cardiology,https://en.wikipedia.org/wiki/American_College_of_Cardiology,List of heart disorders,"The American College of Cardiology (ACC), based in Washington, D.C., is a nonprofit medical association established in 1949. It bestows credentials upon cardiovascular specialists who meet its qualifications. Education is a core component of the college, which is also active in the formulation of health policy and the support of cardiovascular research.
"
American Heart Association,https://en.wikipedia.org/wiki/American_Heart_Association,List of heart disorders," 
"
sinus tachycardia,https://en.wikipedia.org/wiki/Sinus_tachycardia,List of heart disorders,"Sinus tachycardia is a sinus rhythm of the heart, with an increased rate of electrical discharge from the sinoatrial node, resulting in a tachycardia, a heart rate that is higher than the upper limit of normal (90–100 beats per minute for adult humans).[1]
"
trigeminy,https://en.wikipedia.org/wiki/Trigeminy,List of heart disorders,"
"
Sex-positive movement,https://en.wikipedia.org/wiki/Sex-positive_movement,List of vulvovaginal disorders,"
"
Tricyclic antidepressants,https://en.wikipedia.org/wiki/Tricyclic_antidepressant,List of heart disorders,"

"
Serotonin–norepinephrine reuptake inhibitors,https://en.wikipedia.org/wiki/Serotonin%E2%80%93norepinephrine_reuptake_inhibitor,List of heart disorders,"
"
Opioids,https://en.wikipedia.org/wiki/Opioid,List of heart disorders,"

"
Anesthetics,https://en.wikipedia.org/wiki/Anesthetic,List of heart disorders,"
"
Diuretics,https://en.wikipedia.org/wiki/Diuretics,List of heart disorders,"A diuretic (/ˌdaɪjʊˈrɛtɪk/ ⓘ) is any substance that promotes diuresis, the increased production of urine. This includes forced diuresis. A diuretic tablet is sometimes colloquially called a water tablet. There are several categories of diuretics. All diuretics increase the excretion of water from the body, through the kidneys. There exist several classes of diuretic, and each works in a distinct way. Alternatively, an antidiuretic, such as vasopressin (antidiuretic hormone), is an agent or drug which reduces the excretion of water in urine.
"
Selective serotonin reuptake inhibitors,https://en.wikipedia.org/wiki/Selective_serotonin_reuptake_inhibitor,List of heart disorders,"
"
digoxin,https://en.wikipedia.org/wiki/Digoxin,List of heart disorders,"Digoxin (better known as digitalis), sold under the brand name Lanoxin among others, is a medication used to treat various heart conditions.[4] Most frequently it is used for atrial fibrillation, atrial flutter, and heart failure.[4] Digoxin is one of the oldest medications used in the field of cardiology. It works by increasing myocardial contractility, increasing stroke volume and blood pressure, reducing heart rate, and somewhat extending the time frame of the contraction.[5] Digoxin is taken by mouth or by injection into a vein.[4] Digoxin has a half life of approximately 36 hours given at average doses in patients with normal renal function. It is excreted mostly unchanged in the urine.
"
adenosine,https://en.wikipedia.org/wiki/Adenosine,List of heart disorders,"
"
Lithium,https://en.wikipedia.org/wiki/Lithium,List of heart disorders,"


"
diltiazem,https://en.wikipedia.org/wiki/Diltiazem,List of heart disorders,"

"
junctional rhythms,https://en.wikipedia.org/wiki/Junctional_rhythm,List of heart disorders,"Junctional rhythm also called nodal rhythm[2] describes an abnormal heart rhythm resulting from impulses coming from a locus of tissue in the area of the atrioventricular node (AV node),[3] the ""junction"" between atria and ventricles.
"
dronedarone,https://en.wikipedia.org/wiki/Dronedarone,List of heart disorders,"

"
Calcium channel blockers,https://en.wikipedia.org/wiki/Calcium_channel_blocker,List of heart disorders,"
"
magnesium Sulfate,https://en.wikipedia.org/wiki/Magnesium_Sulfate,List of heart disorders,"
"
dofetilide,https://en.wikipedia.org/wiki/Dofetilide,List of heart disorders,"Dofetilide is a class III antiarrhythmic agent.[1] It is marketed under the trade name Tikosyn by Pfizer, and is available in the United States in capsules containing 125, 250, and 500 μg of dofetilide. It is not available in Europe[2] or Australia.[3]
"
verapamil,https://en.wikipedia.org/wiki/Verapamil,List of heart disorders,"

"
ibutilide,https://en.wikipedia.org/wiki/Ibutilide,List of heart disorders,"Ibutilide is a Class III antiarrhythmic agent that is indicated for acute cardioconversion of atrial fibrillation and atrial flutter of a recent onset to sinus rhythm. It exerts its antiarrhythmic effect by induction of slow inward sodium current, which prolongs action potential and refractory period of myocardial cells. Because of its Class III antiarrhythmic activity, there should not be concomitant administration of Class Ia and Class III agents.
"
S. mutans,https://en.wikipedia.org/wiki/Streptococcus_mutans,List of infectious diseases,"

"
ketamine,https://en.wikipedia.org/wiki/Ketamine,List of heart disorders,"

"
S. anginosus,https://en.wikipedia.org/wiki/Streptococcus_anginosus_group,List of infectious diseases,"
"
S. oralis,https://en.wikipedia.org/wiki/Streptococcus_oralis,List of infectious diseases,"
"
S. mitis,https://en.wikipedia.org/wiki/Streptococcus_mitis,List of infectious diseases,"
"
S. sobrinus,https://en.wikipedia.org/wiki/Streptococcus_sobrinus,List of infectious diseases,"
"
Viridans streptococci,https://en.wikipedia.org/wiki/Viridans_streptococci,List of infectious diseases,"
"
G+C,https://en.wikipedia.org/wiki/GC-content,List of infectious diseases,"In molecular biology and genetics, GC-content (or guanine-cytosine content) is the percentage of nitrogenous bases in a DNA or RNA molecule that are either guanine (G) or cytosine (C).[1] This measure indicates the proportion of G and C bases out of an implied four total bases, also including adenine and thymine in DNA and adenine and uracil in RNA.
"
S. sanguinis,https://en.wikipedia.org/wiki/Streptococcus_sanguinis,List of infectious diseases,"
"
Pneumococcal infection,https://en.wikipedia.org/wiki/Pneumococcal_infection,List of infectious diseases,"
"
t,https://en.wikipedia.org/wiki/Template_talk:Gram-positive_firmicutes_diseases,List of infectious diseases,
S. pneumoniae,https://en.wikipedia.org/wiki/Streptococcus_pneumoniae,List of infectious diseases,"

"
Red Book: 2009 Report of the Committee on Infectious Diseases,https://en.wikipedia.org/wiki/AAP_Red_Book,List of infectious diseases,"
The AAP Red Book, or Report of the Committee on Infectious Diseases of the American Academy of Pediatrics, is a hardcover, softcover, and electronic reference to the ""manifestations, etiology, epidemiology, diagnosis, and treatment of some 200 childhood infectious diseases"".
"
List of vaccine topics,https://en.wikipedia.org/wiki/List_of_vaccine_topics,List of infectious diseases,"

"
List of oncogenic bacteria,https://en.wikipedia.org/wiki/List_of_oncogenic_bacteria,List of infectious diseases,"
"
Bacterial diseases,https://en.wikipedia.org/wiki/Pathogenic_bacteria,List of infectious diseases,"Pathogenic bacteria are bacteria that can cause disease.[1] This article focuses on the bacteria that are pathogenic to humans. Most species of bacteria are harmless and many are beneficial but others can cause infectious diseases. The number of these pathogenic species in humans is estimated to be fewer than a hundred.[2] By contrast, several thousand species are considered part of the gut flora, with a few hundred species present in each individual human's digestive tract.[3]
"
Bacillota,https://en.wikipedia.org/wiki/Bacillota,List of infectious diseases,"
"
G+,https://en.wikipedia.org/wiki/Gram-positive_bacterial_infection,List of infectious diseases,"Pathogenic bacteria are bacteria that can cause disease.[1] This article focuses on the bacteria that are pathogenic to humans. Most species of bacteria are harmless and many are beneficial but others can cause infectious diseases. The number of these pathogenic species in humans is estimated to be fewer than a hundred.[2] By contrast, several thousand species are considered part of the gut flora, with a few hundred species present in each individual human's digestive tract.[3]
"
Control of Communicable Diseases Manual,https://en.wikipedia.org/wiki/Control_of_Communicable_Diseases_Manual,List of infectious diseases,"
The Control of Communicable Diseases Manual (CCDM) is one of the most widely recognized reference volumes on the topic of infectious diseases.[1]  It is useful for physicians, epidemiologists, global travelers, emergency volunteers and all who have dealt with or might have to deal with public health issues.
"
heterophile antibody test,https://en.wikipedia.org/wiki/Heterophile_antibody_test,List of infectious diseases,"The mononuclear spot test or monospot test, a form of the heterophile antibody test,[1] is a rapid test for infectious mononucleosis due to Epstein–Barr virus (EBV). It is an improvement on the Paul–Bunnell test.[2] The test is specific for heterophile antibodies produced by the human immune system in response to EBV infection.  Commercially available test kits are 70–92% sensitive and 96–100% specific, with a lower sensitivity in the first two weeks after clinical symptoms begin.[3][4]
"
screening,https://en.wikipedia.org/wiki/Screening_(medicine),List of infectious diseases,"Screening, in medicine, is a strategy used to look for as-yet-unrecognised conditions or risk markers.[1][2][3] This testing can be applied to individuals or to a whole population without symptoms or signs of the disease being screened.
"
enlarged lymph nodes,https://en.wikipedia.org/wiki/Lymphadenopathy,List of infectious diseases,"Lymphadenopathy or adenopathy is a disease of the lymph nodes, in which they are abnormal in size or consistency. Lymphadenopathy of an inflammatory type (the most common type) is lymphadenitis,[1]  producing swollen or enlarged lymph nodes. In clinical practice, the distinction between lymphadenopathy and lymphadenitis is rarely made and the words are usually treated as synonymous. Inflammation of the lymphatic vessels is known as lymphangitis.[2] Infectious lymphadenitis affecting lymph nodes in the neck is often called scrofula.
"
calcification,https://en.wikipedia.org/wiki/Calcification,List of eating disorders,"Calcification is the accumulation of calcium salts in a body tissue. It normally occurs in the formation of bone, but calcium can be deposited abnormally in soft tissue,[1][2] causing it to harden. Calcifications may be classified on whether there is mineral balance or not, and the location of the calcification.[3] Calcification may also refer to the processes of normal mineral deposition in biological systems, such as the formation of stromatolites or mollusc shells (see Biomineralization).
"
Infections associated with diseases,https://en.wikipedia.org/wiki/Infections_associated_with_diseases,List of infectious diseases,"Infections associated with diseases are those infections that are associated with possible infectious etiologies that meet the requirements of Koch's postulates. Other methods of causation are described by the Bradford Hill criteria and evidence-based medicine.
"
Physical examination,https://en.wikipedia.org/wiki/Physical_examination,List of infectious diseases,"
"
Somatosensory homunculus,https://en.wikipedia.org/wiki/Cortical_homunculus,List of eating disorders,"A cortical homunculus (from Latin  homunculus 'little man, miniature human'[1][2]) is a distorted representation of the human body, based on a neurological ""map"" of the areas and portions of the human brain dedicated to processing motor functions, and/or sensory functions, for different parts of the body. Nerve fibres—conducting somatosensory information from all over the body—terminate in various areas of the parietal lobe in the cerebral cortex, forming a representational map of the body.
"
temporal lobe,https://en.wikipedia.org/wiki/Temporal_lobe,List of eating disorders,"
"
frontal lobe,https://en.wikipedia.org/wiki/Frontal_lobe,List of eating disorders,"The frontal lobe is the largest of the four major lobes of the brain in mammals, and is located at the front of each cerebral hemisphere (in front of the parietal lobe and the temporal lobe). It is parted from the parietal lobe by a groove between tissues called the central sulcus and from the temporal lobe by a deeper groove called the lateral sulcus (Sylvian fissure). The most anterior rounded part of the frontal lobe (though not well-defined) is known as the frontal pole, one of the three poles of the cerebrum.[1]
"
Lesions,https://en.wikipedia.org/wiki/Lesions,List of eating disorders,"A lesion is any damage or abnormal change in the tissue of an organism, usually caused by injury or diseases. The term Lesion is derived from the Latin laesio meaning ""injury"".[1] Lesions may occur in both plants and animals.
"
ghrelin,https://en.wikipedia.org/wiki/Ghrelin,List of eating disorders,"
"
Neuropeptide Y,https://en.wikipedia.org/wiki/Neuropeptide_Y,List of eating disorders,"Neuropeptide Y (NPY) is a 36 amino-acid neuropeptide that is involved in various physiological and homeostatic processes in both the central and peripheral nervous systems. It is secreted alongside other neurotransmitters such as GABA and glutamate.[5][6][7][8] 
"
Tumors,https://en.wikipedia.org/wiki/Tumors,List of eating disorders,"A neoplasm (/ˈniːoʊplæzəm, ˈniːə-/)[1][2] is a type of abnormal and excessive growth of tissue. The process that occurs to form or produce a neoplasm is called neoplasia. The growth of a neoplasm is uncoordinated with that of the normal surrounding tissue, and persists in growing abnormally, even if the original trigger is removed.[3][4][5] This abnormal growth usually forms a mass, which may be called a tumour or tumor.[6]
"
precursor,https://en.wikipedia.org/wiki/Precursor_(chemistry),List of eating disorders,"In chemistry, a precursor is a compound that participates in a chemical reaction that produces another compound.
"
Leptin,https://en.wikipedia.org/wiki/Leptin,List of eating disorders,"Leptin (from Greek λεπτός leptos, ""thin"" or ""light"" or ""small""), also known as obese protein,[6] is a protein hormone predominantly made by adipocytes (cells of adipose tissue). Its primary role is likely to regulate long-term energy balance.[7] 
"
epinephrine,https://en.wikipedia.org/wiki/Epinephrine,List of eating disorders,"

"
autoantibodies,https://en.wikipedia.org/wiki/Autoantibodies,List of eating disorders,"An autoantibody is an antibody (a type of protein) produced by the immune system that is directed against one or more of the individual's own proteins. Many autoimmune diseases (notably lupus erythematosus) are associated with such antibodies.
"
homocysteine,https://en.wikipedia.org/wiki/Homocysteine,List of eating disorders,"Homocysteine (/ˌhoʊmoʊˈsɪstiːn/; symbol Hcy) is a non-proteinogenic α-amino acid. It is a homologue of the amino acid cysteine, differing by an additional methylene bridge (.mw-parser-output .template-chem2-su{display:inline-block;font-size:80%;line-height:1;vertical-align:-0.35em}.mw-parser-output .template-chem2-su>span{display:block;text-align:left}.mw-parser-output sub.template-chem2-sub{font-size:80%;vertical-align:-0.35em}.mw-parser-output sup.template-chem2-sup{font-size:80%;vertical-align:0.65em}−CH2−). It is biosynthesized from methionine by the removal of its terminal Cε methyl group. In the body, homocysteine can be recycled into methionine or converted into cysteine with the aid of vitamin B6, B9, and B12.[3]
"
hormone,https://en.wikipedia.org/wiki/Hormone,List of eating disorders,"
"
Norepinephrine,https://en.wikipedia.org/wiki/Norepinephrine,List of eating disorders,"
"
neuropeptides,https://en.wikipedia.org/wiki/Neuropeptides,List of eating disorders,"
"
immune system,https://en.wikipedia.org/wiki/Immune_system,List of eating disorders,"

"
Injury prevention,https://en.wikipedia.org/wiki/Injury_prevention,List of notifiable diseases,"Injury prevention is an effort to prevent or reduce the severity of bodily injuries caused by external mechanisms, such as accidents, before they occur.  Injury prevention is a component of safety and public health, and its goal is to improve the health of the population by preventing injuries and hence improving quality of life. Among laypersons, the term ""accidental injury"" is often used.  However, ""accidental"" implies the causes of injuries are random in nature.[1]  Researchers prefer the term ""unintentional injury"" to refer to injuries that are nonvolitional but often preventable. Data from the U.S. Centers for Disease Control show that unintentional injuries are a significant public health concern: they are by far the leading cause of death from ages 1 through 44.[2]  During these years, unintentional injuries account for more deaths than the next three leading causes of death combined.[2] Unintentional injuries also account for the top ten sources of nonfatal emergency room visits for persons up to age 9 and nine of the top ten sources of nonfatal emergency room visits for persons over the age of 9.[3]
"
amino acids,https://en.wikipedia.org/wiki/Amino_acids,List of eating disorders," 

"
hormones,https://en.wikipedia.org/wiki/Hormones,List of eating disorders,"
"
Serotonin,https://en.wikipedia.org/wiki/Serotonin,List of eating disorders,"

"
Dopamine,https://en.wikipedia.org/wiki/Dopamine,List of eating disorders,"


"
Controlled Drugs,https://en.wikipedia.org/wiki/Drug_policy,List of notifiable diseases,"
"
Infection control,https://en.wikipedia.org/wiki/Infection_control,List of notifiable diseases,"

"
Oral hygiene,https://en.wikipedia.org/wiki/Oral_hygiene,List of notifiable diseases,"
"
Hygiene,https://en.wikipedia.org/wiki/Occupational_hygiene,List of notifiable diseases,"Occupational hygiene or industrial hygiene (IH) is the anticipation, recognition, evaluation, control, and confirmation (ARECC) of protection from risks associated with exposures to hazards in, or arising from, the workplace that may result in injury, illness, impairment, or affect the well-being of workers and members of the community. These hazards or stressors are typically divided into the categories biological, chemical, physical, ergonomic and psychosocial.[1]  The risk of a health effect from a given stressor is a function of the hazard multiplied by the exposure to the individual or group.[2] For chemicals, the hazard can be understood by the dose response profile most often based on toxicological studies or models. Occupational hygienists work closely with toxicologists (see Toxicology) for understanding chemical hazards, physicists (see Physics) for physical hazards, and physicians and microbiologists for biological hazards (see Microbiology, Tropical medicine, Infection). Environmental and occupational hygienists are considered experts in exposure science and exposure risk management.  Depending on an individual's type of job, a hygienist will apply their exposure science expertise for the protection of workers, consumers and/or communities.
"
Needle and syringe programmes,https://en.wikipedia.org/wiki/Needle_and_syringe_programmes,List of notifiable diseases,"
"
Hand washing,https://en.wikipedia.org/wiki/Hand_washing,List of notifiable diseases,"

"
Drug checking,https://en.wikipedia.org/wiki/Drug_checking,List of notifiable diseases,"Drug checking or pill testing is a way to reduce the harm from drug consumption by allowing users to find out the content and purity of substances that they intend to consume. This enables users to make safer choices: to avoid more dangerous substances, to use smaller quantities, and to avoid dangerous combinations.[1] 
"
Preventive nutrition,https://en.wikipedia.org/wiki/Preventive_nutrition,List of notifiable diseases,"
"
Human factors and ergonomics,https://en.wikipedia.org/wiki/Human_factors_and_ergonomics,List of notifiable diseases,"

"
Health promotion,https://en.wikipedia.org/wiki/Health_promotion,List of notifiable diseases,"

"
Hygiene,https://en.wikipedia.org/wiki/Hygiene,List of notifiable diseases,"
"
Food safety,https://en.wikipedia.org/wiki/Food_safety,List of notifiable diseases,"
"
Theories,https://en.wikipedia.org/wiki/Behavioural_change_theories,List of notifiable diseases,"Behavioural change theories are attempts to explain why human behaviours change. These theories cite environmental, personal, and behavioural characteristics as the major factors in behavioural determination. In recent years, there has been increased interest in the application of these theories in the areas of health, education, criminology, energy and international development with the hope that understanding behavioural change will improve the services offered in these areas. Some scholars have recently introduced a distinction between models of behavior and theories of change.[1] Whereas models of behavior are more diagnostic and geared towards understanding the psychological factors that explain or predict a specific behavior, theories of change are more process-oriented and generally aimed at changing a given behavior. Thus, from this perspective, understanding and changing behavior are two separate but complementary lines of scientific investigation. 
"
Healthy diet,https://en.wikipedia.org/wiki/Healthy_diet,List of notifiable diseases,"

"
Unisex changing rooms,https://en.wikipedia.org/wiki/Unisex_changing_rooms,List of notifiable diseases,"
Unisex changing rooms are changing rooms that are not separated on the basis of sex or gender. Unisex changing rooms are sometimes referred to as single-user changing rooms or inclusive changing rooms.
"
Workers' right to access the toilet,https://en.wikipedia.org/wiki/Workers%27_right_to_access_the_toilet,List of notifiable diseases,"
"
Unisex public toilets,https://en.wikipedia.org/wiki/Unisex_public_toilets,List of notifiable diseases,"
"
Behavior change,https://en.wikipedia.org/wiki/Behavior_change_(public_health),List of notifiable diseases,"

Behavior change, in context of public health, refers to efforts put in place to change people's personal habits and attitudes, to prevent disease.[1] Behavior change in public health can take place at several levels and is known as social and behavior change (SBC).[2] More and more, efforts focus on prevention of disease to save healthcare care costs.[3] This is particularly important in low and middle income countries, where supply side health interventions have come under increased scrutiny because of the cost.[4]
"
Security of person,https://en.wikipedia.org/wiki/Security_of_person,List of notifiable diseases,"Security of the person is a basic entitlement guaranteed by the Universal Declaration of Human Rights, adopted by the United Nations in 1948.  It is also a human right explicitly defined and guaranteed by the  European Convention on Human Rights, the Constitution of Canada, the Constitution of South Africa and other laws around the world.
"
Social psychology,https://en.wikipedia.org/wiki/Social_psychology,List of notifiable diseases,"
"
Sociology of health and illness,https://en.wikipedia.org/wiki/Sociology_of_health_and_illness,List of notifiable diseases,"The sociology of health and illness, sociology of health and wellness, or health sociology examines the interaction between society and health. As a field of study it is interested in all aspects of life, including contemporary as well as historical influences, that impact and alter health and wellbeing.[1][2]
"
Human nutrition,https://en.wikipedia.org/wiki/Human_nutrition,List of notifiable diseases,"


"
Right to rest and leisure,https://en.wikipedia.org/wiki/Right_to_rest_and_leisure,List of notifiable diseases,"
"
